id_zasobu,nazwa,skrot,branza,udzial w indeksie,l_akcji,w_ksiegowa,cena,zysk,stopa_dywidendy,rating ,zmiana_12m ,aktualne_C_WK ,kroczace_c_zo,kroczace_c_p
2,ASSECOPOL,ACP,Oprogramowanie,1.852,83000303,7481.8,4185,358.0989691,0.058,AAA,-0.09,0.46,5.37,0.62
3,BOGDANKA,LWP,Kopalnia,2.388,34013590,2366.3,12360,259.5111111,0.032,A,0.043,1.78,12.92,2.35
4,BORYSZEW,BRS,Chemia,0.245,2256715692,1195.71,40,19.49654428,0,BB,-0.322,0.75,8.94,0.19
5,BRE,BRE,Finanse,2.575,42141986,9978.3,38000,1195.070896,2.6,B,0.434,1.6,10.97,2.81
6,EUR,EUR,FMCG,2.421,441442578,11240.38,1399,771.9725,0.034,CCC,0.6158,10.93,23.87,0.52
7,GTC,GTC,Nieruchomości,1.039,319372990,2997.38,800,34.99972603,0,B-,0.3223,0.85,-8.26,4.25
8,HANDLOWY,BHW,Finanse,1.75,130659600,7561.79,9990,1078.75124,0.028,BB-,0.4374,1.73,9.53,4.83
9,JSW,JSW,Kopalnia,2.073,117411596,8719.2,7600,632.8567376,0.071,AA+,-0.1602,1.02,10.12,1.03
10,KERNEL,KER,Spożywcza,1.713,117411596,8719.2,7600,632.8567376,0.071,AA-,0.11,1.15,5.5,0.54
11,KGHM,KGH,Kopalnia,12.673,200000000,23460,14580,4556.25,0.194,AAA,0.206,1.24,4.54,1.08
12,LOTOS,LTS,Paliwa,1.464,129873362,8750.15,4084,178.5868687,0,BBB,0.6213,0.61,-36.97,0.16
13,PEKAO,PEO,Finanse,12.106,262470034,24031.62,16540,2913.593289,0.033,B+,0.2502,1.81,12.29,4.06
14,PGE,PGE,Energia,7.023,1869760829,42351.38,1715,2788.382609,0.107,AA,-0.0365,0.76,9.31,1.05
15,PGNIG,PGN,Paliwa,5.301,5900000000,28411,630,3021.95122,0,A+,0.7073,1.31,10.28,1.24
16,PKNORLEN,PKN,Paliwa,9.381,427709061,28563.6,5449,1233.114815,0,AA,0.5956,0.82,16.34,0.2
17,PKOBP,PKO,Finanse,15.672,1250000000,25422.36,3447,3531.762295,0.037,B,0.0978,1.69,9.94,2.6
18,PZU,PZU,Ubezpieczenia,13.311,86352300,14952.08,44800,3278.460169,0.05,BBB-,0.4834,2.59,9.41,2.33
19,SYNTHOS,SNS,Chemia,1.842,1323250000,3064.28,535,484.889726,0.142,AAA,-0.0308,2.31,10.9,1.18
20,TAURONPE,TPE,Energia,2.629,1752549394,17316.06,436,1625.770213,0.071,BB+,0.0431,0.44,3.21,0.33
21,TPSA,TPS,Telekomunikacja,2.542,1335649021,13045,799,692.9766234,0.184,BB,-0.5068,0.82,7.57,0.77
