id_zasobu,nazwa,skrot,branza,udzial w indeksie,l_akcji,w_ksiegowa,cena,zysk,stopa_dywidendy,rating ,zmiana_12m ,aktualne_C_WK ,kroczace_c_zo,kroczace_c_p
2,ASSECOPOL,ACP,Oprogramowanie,1.852,83000303,7481.8,41.85,358.0989691,5.8,AAA,-9.00%,0.46,5.37,0.62
3,BOGDANKA,LWP,Kopalnia,2.388,34013590,2366.3,123.6,259.5111111,3.2,A,4.30%,1.78,12.92,2.35
4,BORYSZEW,BRS,Chemia,0.245,2256715692,1195.71,0.4,19.49654428,0,BB,-32.20%,0.75,8.94,0.19
5,BRE,BRE,Finanse,2.575,42141986,9978.3,380,1195.070896,2.6,B,43.40%,1.6,10.97,2.81
6,EUR,EUR,FMCG,2.421,441442578,11240.38,13.99,771.9725,3.4,CCC,61.58%,10.93,23.87,0.52
7,GTC,GTC,Nieruchomości,1.039,319372990,2997.38,8,34.99972603,0,B-,32.23%,0.85,-8.26,4.25
8,HANDLOWY,BHW,Finanse,1.75,130659600,7561.79,99.9,1078.75124,2.8,BB-,43.74%,1.73,9.53,4.83
9,JSW,JSW,Kopalnia,2.073,117411596,8719.2,76,632.8567376,7.1,AA+,-16.02%,1.02,10.12,1.03
10,KERNEL,KER,Spożywcza,1.713,117411596,8719.2,76,632.8567376,7.1,AA-,11.00%,1.15,5.5,0.54
11,KGHM,KGH,Kopalnia,12.673,200000000,23460,145.8,4556.25,19.4,AAA,20.60%,1.24,4.54,1.08
12,LOTOS,LTS,Paliwa,1.464,129873362,8750.15,40.84,178.5868687,0,BBB,62.13%,0.61,-36.97,0.16
13,PEKAO,PEO,Finanse,12.106,262470034,24031.62,165.4,2913.593289,3.3,B+,25.02%,1.81,12.29,4.06
14,PGE,PGE,Energia,7.023,1869760829,42351.38,17.15,2788.382609,10.7,AA,-3.65%,0.76,9.31,1.05
15,PGNIG,PGN,Paliwa,5.301,5900000000,28411,6.3,3021.95122,0,A+,70.73%,1.31,10.28,1.24
16,PKNORLEN,PKN,Paliwa,9.381,427709061,28563.6,54.49,1233.114815,0,AA,59.56%,0.82,16.34,0.2
17,PKOBP,PKO,Finanse,15.672,1250000000,25422.36,34.47,3531.762295,3.7,B,9.78%,1.69,9.94,2.6
18,PZU,PZU,Ubezpieczenia,13.311,86352300,14952.08,448,3278.460169,5,BBB-,48.34%,2.59,9.41,2.33
19,SYNTHOS,SNS,Chemia,1.842,1323250000,3064.28,5.35,484.889726,14.2,AAA,-3.08%,2.31,10.9,1.18
20,TAURONPE,TPE,Energia,2.629,1752549394,17316.06,4.36,1625.770213,7.1,BB+,4.31%,0.44,3.21,0.33
21,TPSA,TPS,Telekomunikacja,2.542,1335649021,13045,7.99,692.9766234,18.4,BB,-50.68%,0.82,7.57,0.77
